normalized_part_identifier,raw_examples,occurrences,fieldbeat_task_ids,zendesk_ticket_ids,example_part_names,current_match_status,current_match_method,suggested_action,manual_dolibarr_product_id,manual_dolibarr_ref,review_notes
1016474,1016474,11,87|198|266|599|902|1132|1141|1169|1170|1437|1472,758188|010101,1 Freno DLG|2 Unidades - DLG Brake|Frenos de DLG|Frenos DLG x2|2x DLG Brake Spare,MATCHED,REF_LIKE,Revisar manualmente.,,,
1556292,1556292,11,1506|1575|1602|1773|1910|1930|1968|2050|2162|2375|2872,844620|985059|0000|777777|8884,"kit spare, dlg brake      cantidad 2|(2) Kit DLG, Brakes |kit, spares, dlg brakes    cant =2|(2) Kit, Spares, DLG Brake|kit spares DLG brake cantidad =2",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SINNUMERO,sin numero|Sin numero|Sin número|Sin número.,10,92|74|146|144|150|102|305|357|396|534,,no hay|Conector Rs|lwd 40. grasa EP2|Grasa EP2. Lubricante WD40|wd40 . limpia contacto . paños de limpieza,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
NOAPLICA,no aplica|No aplica|NO APLICA,9,75|213|914|1094|2414|2415|2442|2730|3395,144|8733|99999,no aplica|no hay|Limpia Contacto|Insumo|NO APLICA,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
1017632,1017632,8,957|1223|1226|1233|1281|1528|2357|3723,564323|777777|10148,"pcb assy, camera CCU|CCU PCB|PCB assy, camera CCU|PCB Assy Camers CCU|PCB Assy, Camera CCU",MATCHED,REF_LIKE,Revisar manualmente.,,,
1500954,1500954,7,108|384|490|1828|2152|2853|3495,777777|8901|9833,"Tarjeta Controladora de Voltaje|PCB controladora de Telemetro "" VOLTAGE REGULATOR PCB ASSY""|Z-Laser voltage regulator, PCB Assy|voltage regulador, pcb assy.|Voltage Regulator PCB Assy",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1547237,1547237,7,1322|1698|2110|2868|2872|2954|3257,368560|8912|8884|9037,"kit, luminus proj assy and pcb led control|Kit, Luminus Proj Assy an PCB |Kit, Luminus Proj Assy and PCB, Assy Led Control|kit, luminus proj assy and PCB assy, LED CONTROL |kit, luminus proj assy and PCB assy, LED control",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
4513341184601H,4513341184601H,6,1269|1976|2066|2483|2559|2910,434875|198,"cable assy, pl5 to S  (1)|Cable Assy PL5|Cable Assy, PL5 to SK5A|cable assy, PL5 to SK5A|cable assy, pl5 to sk5A",MATCHED,REF_LIKE,Revisar manualmente.,,,
COMPLETARSOLOPORINGENIERODESERVICIO,completar solo por ingeniero de servicio.,6,2520|2522|2523|2524|2525|2526,1,completar solo por ingeniero de servicio.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133502026,45133502026|45133502026.,5,752|1774|1798|2113|2796,904418|568581|8820,"X RAY TUBE Assembly|X Ray tube.|Assembly, Xray Tube|assembly, xrays tube|Tubo de RX",MATCHED,REF_LIKE,Revisar manualmente.,,,
SINNUMERODEPARTE,Sin número de parte|sin número de parte,5,802|857|882|890|920,,Soldadura de estaño y componente Wulf|Seguro Zagers de 10 mm|Sin repuesto|Cable alternativo de HT,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1564281,1564281,5,2460|2935|2951|3068|3294,711824|9006|8991,"pcb assy, wedge cont |PCB, assy, wedge control |PCB ASSY, WEDGE CONTROL|wedge board",MATCHED,REF_LIKE,Revisar manualmente.,,,
NONE,None|none,4,6|34|23|16,,None|none,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133326854,45133326854|45133326854.,4,236|744|2675|3358,412,mylar|Mirror assembly (Mylar).|Mirror assembly (Mylar)|MOUNT MIRROR,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1016472,1016472,4,287|902|1011|1498,339909,"diaphragm brake x 2 unidades|2x Diaphragms Brake Spare|kit, spares, diaphragm brake  cant(2)|2 Kit spares, Diaphragms brake ",MATCHED,REF_LIKE,Revisar manualmente.,,,
45133164423,45133164423,4,440|900|1055|2071,0101,Filtre Element|2 unidades Water filter|filter element (x2)|Filter element Cant: 2,MATCHED,REF_LIKE,Revisar manualmente.,,,
45133164421,45133164421.|4513 316 4421|45133164421,4,496|504|1760|2653,475,"Potentiometer,  20K, 10 turns.|Potentiomete, 20K, 10 Turns.|1 NR Potenciometro 20 K, 10 turns|POTENCIOMETER 20K",MATCHED,REF_LIKE,Revisar manualmente.,,,
45133164412,45133164412,4,996|1143|2475|2653,181|475,"Potentiometer, 20k, 1 turn Fine(1)|Potenciómetro single turn 66575-ZUP-203|Fine potetiometer, 20k, si gle turno|POTENCIOMETER, 20K, SINGLE",MATCHED,REF_LIKE,Revisar manualmente.,,,
NOHSY,no hsy|No hsy,3,21|1121|1383,,no hsy|No hay|no hay,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133411850,45133411850,3,742|2066|3587,9971,"cable PL9|Cable Assy, PL9 to SK9|cable assy PL9 to SK9A1/2",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
0000,0000,3,1661|1964|3722,0000,Copla Festo|PCB alimentacion filamento magnetron|Cable de red CAT6,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1526644,1526644,3,1823|2162|2812,,"PCB Assy, Wedge Control |pcb assy, Wedge control |PCB Wedge Control",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1553878,1553878,3,2191|2784|3280,381608|9494,"Z motor abd Brake|Z motor and brake|FRU, Z DRIVE MOTOR/BRAKE ASSEMBLY",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1556286,1556286,3,2601|2812|3068,404,diaphragm brakes spare kit|FRU Assembly wegde|Fru assembly Wedge,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
0,0,3,3212|3341|3591,9590|9970,no|no.|N/A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
653950001,653950-001,2,50|149,,Disco HP 146GB 15K 6G SFF DÍAS x1|Disco HP 146GB 15K 6G SSF SAS HDD,MATCHED,REF_LIKE,Revisar manualmente.,,,
1510260,1510260,2,152|1216,,KV Panel Detector|panel XVI,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
13289,13289,2,250|1610,346827,Ampolleta Halogena 13.8v 50W|Ampolleta halógeno,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133305658,4513 330 5658|45133305658,2,259|2217,566921,Multiplex Terminal Unit (MTU).  N/S 2115995|Multiplex Terminal Unit (MTU) - Cantidad 2,MATCHED,REF_LIKE,Revisar manualmente.,,,
553290240040,55.32.9.024.0040.|55.32.9.024.0040,2,360|481,,Relay Finder 24 Vdc. (proporcionado por clinica)|3 Relayes Finder 24 Vdc.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1532432,1532432.|1532432,2,516|1017,,Gun filament PSU. N/S 153243219020.|GUN FILAMENT PSU,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1018121,1018121,2,604|1912,,Motor de movimiento vertical de camilla|FRU Z Drive,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ5590002,BJ5590.002.|BJ5590.002,2,721|2826,8696,Ion Chamber. Numero de serie CHA0544.|ION CHAMBER,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SPN,S/P.N.|S/PN,2,885|1413,,Cable PL5|Graphite Nut,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
NOUTILIZADO,No utilizado,2,937|938,,No utilizado,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133416574,45133416574,2,975|1400,964324,Microswitch Plunger Assembly|tarjeta micro swich,AMBIGUOUS_MATCH,REF_NORMALIZED_EXACT,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
4513332644381130242521,"45133326443
81130242521",2,1065|1827,,"motor assembly
leadscrew assy|MotorAssenbly
Leadscrew Assy",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1023830,1023830,2,1133|3224,9404,"Assembly, 160MLC PSU, UR SOLUTION|160 MLC PSU",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133411940,45133411940,2,1269|2103,434875,Long (upper) roller-blind assembly (1)|Roller Superior,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133903544,4513 390 3544,2,1457|1458,116702,SIB PCB,MATCHED,REF_LIKE,Revisar manualmente.,,,
CF25HA1,CF25HA-1,2,1517|1521,520423,Obturador de Camara de Video (FUJIFILM)|Obturador de cámara de video (Fujifilm),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
P1094996,P1094996,2,1730|1936,,Módulo de Corte de etiquetas|Modulo de corte Zebra Printer,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ3324003,BJ3324.003,2,5290|3094,709670|9100,Guía de Onda|G/O TB-6U,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1070431110777111,"107043-11
107771-11",1,951,,"Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",MATCHED,REF_LIKE,Revisar manualmente.,,,
451333326854,451333326854,1,953,,"Mout, mirror (mylar)",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
155579,155579,1,953,,Lens Ricoh FL-Bc1218A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MOTORES451333264430TORNILLO8113024252101,"motores: 451333264430
tornillo: 8113024 2521_01",1,954,,03 motores y 01 tornillo.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1347987,1347987,1,955,,pcb motor drive,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1018268,1018268,1,94,,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45143326854451333276624513332766245133164412,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",1,45,,"Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ",MATCHED,REF_LIKE,Revisar manualmente.,,,
CAFE2335689,cafe 2335689,1,4,,Escobas huaipe,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
647907B21,647907-B21,1,32,,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
C7975A,C7975A,1,32,,HPE Ultrium LTO-5 3TB RW Data Tape,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
100000001,100000001,1,7,,barros luco,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
T21321900352,T21321900352,1,68,,fusible de retardo 10 amp.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1526647,1526647,1,66,,DLG PCB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
RELAYSINNUMEROMAGNETRONMG5193,"Relay sin numero.

Magnetron MG5193",1,222,,"Relay de 24 Vdc.

Magnetron e2V Teledyne  Número serie 18351056C",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133502668102493901,45133502668 / 1024939 01,1,197,,resorte y ventilador,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
451533048000,4515 330 48000,1,184,,GUN ASSY,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451333117858,4513 331 17858,1,182,,FRU ISO ROTATION,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN91951712,S/N 91951712,1,177,,Thales TH 7195 B,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
10000956417,1000095641/7,1,17,,Service Slitless Flight,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451333041000Y,451333041000Y,1,17,,Drift Tube,MATCHED,REF_LIKE,Revisar manualmente.,,,
2456,2456,1,15,,hhhh,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1501062,1501062,1,218,,Pcb logical control unit,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133904974,45133904974,1,212,,PCB2 Thumbwheel Table User Interface Side A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
160406,160406,1,192,,Tarjeta Electrónica Generadora de Pulsos PPG,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
01OFELK28113024252101J,01 OF ELK2 / 8113 024 252101j,1,185,,motor 01of  ELK2 / Tornillo,MATCHED,REF_LIKE,Revisar manualmente.,,,
1509981NUMEROSERIE150998117084,"1509981

Numero Serie 150998117084.",1,169,,Gun Filament Power Supply.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
CX1154L,CX1154L,1,167,,Válvula Electrónica Tiratrón marca Elekta Nro de Serie 38884 (nueva),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1509981ISS02SN150998117091,1509981. ISS 02.   S/N 150998117091,1,145,,Gun Filament Power Supply,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MODELO5295001R001,modelo 5295001R001,1,120,,Fuente de Bonbas de Vacio,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
TRANSISTORESC3907,Transistores C3907,1,119,,"Fusible 2Amp. 250V.

4 transistores de potencia. ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
HNM101MBBZ4,HN-M101MBB/Z4,1,12,,HDD Samsung 1TB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
VARTA36VDC150MAH,Varta 3.6 vdc 150mAh,1,101,,Bateria LCD Dose,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
12P754WZ058,12P754WZ058,1,254,,Valvula motora circuito interno de agua,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
IONCHAMBER101420408SIB1006737,"Ion Chamber. 1014204-08

SIB. 1006737",1,282,,"Ion Chamber. Serie 07181000106B40-8

Signal Input Board PCB. Serie 2488895. 
",MATCHED,REF_LIKE,Revisar manualmente.,,,
5295001R001,5295001R001,1,293,,Ipcu 2 ch  positive,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1020850SERIALNRO2109688,1020850 serial nro.2109688,1,308,,Programmed PCB (PPG),MATCHED,REF_LIKE,Revisar manualmente.,,,
1516940,1516940,1,313,,2 x Leaf Motor Drive Module PCB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133308710,45133308710,1,320,,Fuente de Poder,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
101674,101674,1,311,,"2 Nr. Kit spares, DLG Brake. ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1015459,1015459,1,332,,Tarjeta electrónica Linac Interface Board (LIB),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
ATA3004,at-a3004,1,333,,Filament Driver,MATCHED,REF_LIKE,Revisar manualmente.,,,
153848,153848,1,339,,"PCB ASSY, DLG AND DIAPHRAGM DRIVE",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
LEAD8113024252101JMOTOR4513332644304F,"Lead 8113024252101J. 
Motor 4513332644304F.",1,356,,"Motor Assy.
Lead Screw Assemly. ",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
THKAFBLF70,THK AFB-LF+70,1,381,,Grasa de propósito general.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
RG8U,RG8U,1,393,,Cable coaxial,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
ZN11E9RZ,ZN11E9RZ,1,407,,Disco Duro Seagates 1TB Barracuda,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SS,S/S,1,418,,Halogen Optic Lamp 12V-75W,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
A300410NSS1522PRP,A3004-10.   N/S S1522 PRP,1,419,,PCB Filament Drive.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
T821321900352,T 821321900352,1,423,,Fuse 32 x 6.  10A,MATCHED,REF_LIKE,Revisar manualmente.,,,
T821321900352Y821321900350,"T 821321900352
Y 821321900350",1,429,,"Fuse 32V/10A
Fuse 250V/500mA",MATCHED,REF_LIKE,Revisar manualmente.,,,
32V10A,32V10A,1,433,,Fusible retardo 10A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
465111028,465111028,1,435,,OSRAM Lamp 48870 WFL ES,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
WD10EZEX,WD10EZEX,1,437,,Disco Duro Western digital 1TB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
CX1154L45133165177,CX 1154L 45133165177,1,440,,Thyratron.,MATCHED,REF_LIKE,Revisar manualmente.,,,
4513332764704C,4513332764704c,1,440,,Fan Sub Assy,MATCHED,REF_LIKE,Revisar manualmente.,,,
45133326275,45133326275,1,440,,Screen Assembly,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
