client_name,client_rut,period,total_reports,used_parts_count,matched_used_parts_count,placeholder_used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2020-03,2,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2020-05,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2020-07,2,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2020-08,2,2,0,2,0,0
CLÍNICA ALEMANA DE TEMUCO,,2020-09,1,1,0,0,1,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2020-11,1,1,0,0,0,1
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2020-12,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2021-01,3,3,0,2,1,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2021-03,2,2,0,2,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2021-07,2,2,0,1,0,1
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2021-11,1,1,0,1,0,0
CLÍNICA LAS CONDES,,2021-09,3,2,0,2,0,0
CLÍNICA LAS CONDES,,2022-04,3,2,1,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-05,5,1,1,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-06,2,1,0,0,1,0
CLÍNICA LAS CONDES,93.930.000-7,2022-07,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-08,4,3,1,1,1,0
CLÍNICA LAS CONDES,93.930.000-7,2022-09,6,1,1,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-10,2,1,1,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-11,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2022-12,2,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-01,2,1,1,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-02,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-03,1,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-04,9,5,0,3,2,0
CLÍNICA LAS CONDES,93.930.000-7,2023-05,4,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-06,2,2,1,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-07,2,3,3,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-08,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-09,2,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2023-10,3,3,0,3,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-02,4,5,4,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-03,1,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-07,2,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-09,4,2,2,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-11,2,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2024-12,2,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-02,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-03,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-04,1,1,0,0,1,0
CLÍNICA LAS CONDES,93.930.000-7,2025-05,9,19,17,0,2,0
CLÍNICA LAS CONDES,93.930.000-7,2025-06,11,6,4,1,1,0
CLÍNICA LAS CONDES,93.930.000-7,2025-07,8,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-08,3,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-09,2,3,3,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-11,4,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2025-12,3,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-01,3,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-02,2,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-03,6,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-04,4,4,1,1,2,0
CLÍNICA LAS CONDES,93.930.000-7,2026-05,1,0,0,0,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-06,1,1,0,1,0,0
CLÍNICA LAS CONDES,93.930.000-7,2026-07,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2018-10,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2018-11,3,3,0,2,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2018-12,1,1,0,0,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2019-01,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2019-02,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2019-03,5,4,1,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-04,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-05,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2019-06,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-07,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-08,2,2,0,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-09,3,3,0,3,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-10,7,6,0,4,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-11,4,4,0,2,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2019-12,12,15,6,8,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-01,4,4,1,3,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-02,6,4,0,3,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2020-03,3,2,0,1,0,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-04,2,2,2,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-06,3,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-07,1,2,1,0,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),,2020-08,4,7,4,2,0,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2020-11,4,2,0,0,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2020-12,6,5,0,2,2,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-01,6,6,1,1,4,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-02,2,7,4,1,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-03,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-04,3,3,0,2,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-05,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-06,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-08,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-09,2,2,0,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-10,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-11,4,3,0,2,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2021-12,3,3,0,3,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-02,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-03,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-04,3,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-05,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-06,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-07,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-08,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-09,3,3,0,1,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-11,8,8,2,4,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2022-12,6,6,2,4,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-01,3,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-02,1,1,0,0,0,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-03,4,2,1,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-04,4,4,1,3,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-05,4,4,0,4,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-07,5,5,2,2,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-09,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-10,1,1,0,0,0,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2023-11,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-01,5,5,1,4,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-03,6,6,2,2,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-04,2,2,1,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-05,1,1,0,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-07,2,2,1,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-08,2,2,1,1,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-10,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-11,2,2,0,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2024-12,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-01,3,2,0,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-02,3,3,1,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-03,2,2,0,2,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-05,5,3,2,0,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-06,3,2,2,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-07,1,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-08,1,1,0,0,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-09,2,0,0,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-10,3,2,1,0,0,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2025-12,3,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-01,7,3,0,1,2,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-02,3,0,0,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-03,8,0,0,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-04,3,1,1,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-05,2,0,0,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-06,1,0,0,0,0,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,2026-07,2,0,0,0,0,0
Control Dosimetrico Linac HCM,,2021-03,1,1,0,1,0,0
EYG MEDICAL SYSTEMS LTDA.,76089058-8,2018-08,17,8,0,3,5,0
EYG MEDICAL SYSTEMS LTDA.,76089058-8,2020-08,1,0,0,0,0,0
EYG MEDICAL SYSTEMS LTDA.,76089058-8,2021-01,1,0,0,0,0,0
EYG MEDICAL SYSTEMS LTDA.,76.089.058-8,2022-09,3,0,0,0,0,0
EYG MEDICAL SYSTEMS LTDA.,76.089.058-8,2023-06,2,0,0,0,0,0
EYG MEDICAL SYSTEMS LTDA.,76.089.058-8,2025-05,1,0,0,0,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2018-08,7,5,2,2,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2018-09,10,6,1,3,2,0
FUNDACION ARTURO LOPEZ PEREZ,,2018-10,9,5,1,3,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2018-11,12,10,3,5,2,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2018-12,15,8,2,5,0,1
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-01,7,8,4,3,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-02,3,1,0,0,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-03,11,10,2,7,1,0
FUNDACION ARTURO LOPEZ PEREZ,,2019-04,8,9,5,3,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-05,7,5,1,3,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-06,6,3,1,2,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-07,14,8,2,6,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-08,10,7,1,5,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-09,11,8,0,7,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-10,10,3,0,2,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-11,8,4,1,3,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2019-12,20,15,1,10,4,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-01,15,9,2,6,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-02,11,8,2,5,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-03,7,3,1,2,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-04,4,3,1,1,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-05,3,5,2,2,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-06,11,6,2,2,2,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-07,7,3,2,1,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-08,13,8,5,1,1,1
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-09,16,10,5,3,2,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-10,9,3,1,1,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-11,16,5,2,1,2,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2020-12,11,7,4,3,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-01,9,4,0,3,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-02,5,3,0,3,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-03,15,7,6,0,0,1
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-04,8,3,2,1,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-05,7,7,4,2,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-06,6,1,0,1,0,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-07,7,7,5,1,1,0
FUNDACION ARTURO LOPEZ PEREZ,70377400-8,2021-08,7,3,1,2,0,0
