normalized_part_identifier,raw_part_identifier,part_name,occurrences,matched_count,placeholder_count,no_match_count,ambiguous_count,dolibarr_refs,dolibarr_product_ids,match_statuses,match_methods,needs_manual_review
1538489,1538489,"Diaphragms PCB|PCB diaphragm drive|PCB assy, DLG and Diaphragm drive|DLg PCB Drive|PCB ASSY, DLG AND DIAPHRAGM DRIVE|PCB assy, DLG and Diaphragm Drive|Sur: Pcb assy, dlg and diaphragm drive cant 1|PCB Assy, DLG and Diaphragm Drive|Diaphragm/DLG PCB|DLG, PCB|DLG AND DIAPHRAGM PCB|PCB assy, DLG and DIAPHRAGM Drive|PCB assy, DLG and DIAFRAGM drive (cantidad 2)|pcb assy, dlg and diaphragm drive cant 1|PCB Assy, DLG and Diaphrams Drive|DLG/Diaphrams Drive PCB|PCB Assy, DLG and Diaphragms Drive|pcb assy, dlg and diaphragm drive cantidad =1|PCB assy, DLG & Diaph  cant 1|PCB Assy, DLG/Diaphragms (2)|Diaphragm / DLG PCB",22,0,0,22,0,,,NO_MATCH,NONE,true
1018265,1018265,Fru Z MTR brush Set|FRU Z Motor Brush SET (electrocraft)|FRU Z motor brush set|Fru Z mtr brush set|Fru Z motor brush set ( electrocraft) cant=1|FRU Z MOTOR BRUSH SET|Fru Z Motor Brush|FRU Z motor Brush set|FRU Z Motor Brush  Set|FRU Z MOTOR BRUSH SET (Electrocraft)|FRU Z MTR BRUSH SET|fru z motor brush set (electrocraft)|kit carbones de motor Z|fru Z motor brush set|Z drive motor brush,20,20,0,0,0,1018265_proveedor_local,11961,MATCHED,REF_LIKE,true
1515098,1515098.|1515098,"Ionic Pum|Gun. Ion pum Spare|bomba Ionica|ion pump spare cant =2|Ion Pump Spare|Ion Pump - Spare|IonPump (lado target)|ion pump - spare|Bomba ionica , sello 114 mm cobre|bombas ionica|ION PUMP|ION PUMP SPARE|ION Pump spare|ION PUMP - SPARE|ION PUMP SPARE KIT INCLUDES COPPER SEAL",18,18,0,0,0,1515098,10374,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
1010848,1010848,"Espejo Mylar|Mirror Assembly, opt|mirror assembly optics|mirror asaembly opt|Mirror Assembly, OPT.  Cant: 1|MYLAR|Mylard Mirror Assembly|Mirror Assembly, optics (Agility)|Mirror Assembly|mirror assembly, optics (mylar)|mirror assembly, óptics |MIRROR ASSEMBLY, OPTIC|MIRROR ASSEMBLY, OPT|Mirro|Mirror assembly, optics (Agility)|MIRROR ASSEMBLY, OPTICS",18,18,0,0,0,1010848,11037,MATCHED,REF_EXACT,false
NO,no.|No|NO|no,no se utilizaron.|No|no|No.,17,0,17,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
1018559,1018559,"4 Ventiladores para Bancos de Láminas.|(2) ASSY, BRACKET & FAN|(2) FAN dobles para PCB Motor Drive|(2) LMD Fan and braket|fans assy|(02) Assy, Bracket & Fan|LMD fan and bracket|assy, bracket & fan |ASSY, BRACKET & FAN|LMD Fan and Breaket|LMD FAN AND BRACKET",17,17,0,0,0,1018559,10724,MATCHED,REF_EXACT,false
1527044,1527044,"programmed PCB assy, Router|programmed pcb assy, router|Programmed PCB assy, router|Programmed PCB Assy ROUTER|programmed pcb assy, router |programmed pcb assy, router cant 1|Programmed PCB ASSY  cant 1|Programmed PCB Assy, Router|Router PCB|programmed pcb assy router|PROGRAMMED PCB ASSY, ROUTE",15,0,0,15,0,,,NO_MATCH,NONE,true
1024939,1024939,"Assy 40x40x10mm LED Projector FAN Heatsink|Así, 40x40x10mm Fan|assy, 40x40x10mm Fan cant 1|assy,40x40x10 mm fan cant 1|Assy, 40x40x10 Fan|Assy 40x40x10mm Led Projector Fan, Heatsink|assy, 40x40x10mm Fan|ASSY, 40X40X10MM FAN|assy 40 x 40 x 10 mm fan|LED projector fan|ASSY, 40X40X10MM FAN, HEATSINK|sssy 40 x 40 x 10 mm fan, heatsink |fan led proyector|40x40x10 mm FAN, heatsink |Assy 40x40x10 mm FAN",15,15,0,0,0,1024939,10776,MATCHED,REF_EXACT,false
1541718,1541718,"(Cantidad=2)Fru, Pancake Motor Assembly|2 FRU, Pancake motor assembly|Motor Panqueque|Pancake Motor Cant: 02|fru, pancake motor assembly cant=2|fru, pancake motor assembly |fru, pancake motor assembly|FRU Pancake Motot Assembly|FRU, PANCAKE MOTOR ASSEMBLY|pancake motor assembly|Fru, pancake motor assembly |Pancake Motor",14,14,0,0,0,1541718,11595,MATCHED,REF_EXACT,false
1006737,1006737,PCB SIB|SIB PCB|PCB Assy Sib|pcb sib|PCB ASSY SIB|SERVO INPUT BOARD (SIB)|PCB Assy SIB|Pcb Sib,13,13,0,0,0,1006737_usado,12071,MATCHED,REF_LIKE,true
821321900352,8213-219-00352|821321900352|8213 219 00352,"Fuse 10A - 250V|Fuse 10A 32 Vac, time delay, glass cartridge 32mm x 6,3 mm (FS32E).|Fusible FS 32 V. 10 AMP.|fusible de retardo 10 A|fusible FS 32 V. 10 Amp|Fusible 10 amp.|Fusible 10 Amperes 32V con retardo.|Fusible 32V-10A|Fusible de retardo,  10 Amp. 32 Vac. (FS32E)  |Fusible de reterardo 10 amperios.|Fuse 10 A 32 VAC",12,12,0,0,0,821321900352,11061,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
1016474,1016474,"1 Freno DLG|2 Unidades - DLG Brake|Frenos de DLG|Frenos DLG x2|2x DLG Brake Spare|2 dlg brake|(2) DLG Brake|Nor: Kit, spares, dlg brake cant:2|(2) DLG Brakes|kit, Spares, DLG Brake (dos unidades)|DLG brake Cant: 2",11,11,0,0,0,1016474_usado,11873,MATCHED,REF_LIKE,true
1527814,1527814,"Fuente de Poder bombas Ionicas IPCU CTRL ELEKTA|Ion Pump IPCU|Ion Pump PSU    cant 1|PSU Ion Pump|IPCU, PSU Ion Pump|Ion pump PSU (IPCU)|PSU, ION PUMP|Fuente de poder IPCU|PSU, ion PUMP ",11,11,0,0,0,1527814,11929,MATCHED,REF_EXACT,false
1556292,1556292,"kit spare, dlg brake      cantidad 2|(2) Kit DLG, Brakes |kit, spares, dlg brakes    cant =2|(2) Kit, Spares, DLG Brake|kit spares DLG brake cantidad =2|2 NR frenos de Dlg's|Kit, Spares, DLG Brake  cant 2|kit, spares, DLG brake (X2)|kit spare DLG brake (2 unidades)|Kit, Spares, DLG Brake|DLG brake spares kit",11,0,0,11,0,,,NO_MATCH,NONE,true
SINNUMERO,sin numero|Sin numero|Sin número|Sin número.,"no hay|Conector Rs|lwd 40. grasa EP2|Grasa EP2. Lubricante WD40|wd40 . limpia contacto . paños de limpieza|sin repuesto|Grasa Ep2.  
Limpia contacto. 
Paños de limpieza.  
Alcohol isopropilico. 
|2 Nr. Baterías UPS proporcionadas por clínica.  CJ12-7,2. |paños de limpieza , pinceles suaves|Fuente de Poder KVM",10,0,10,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
45133165177,45133165177,"Thyratron e2v. CX1154L  Teledyne

S/N 39855|Válvula Electrónica de Alta Tensión - Tiratrón|thyratron|thyratron número de serie :39631|Thyatron Cant: 1|thyratron, hydtogen|Thyratron e2V CX1154L|Thyratron, hydrogen|THYRATRON, GL1551A|Thyratron",10,10,0,0,0,45133165177,10716,MATCHED,REF_EXACT,false
1016476,1016476,"4 Motores agility|2 x Kit Tornillo, Motor y Nuez de Lámina Agility|4 x Kit Tornillo Nuez y Motor|2 conjuntos de Tornillo Nuez y Motor de Agility|4 kit leaf motor|kit, Soares leaf motor |Kit motor MLC|Leaf Motor Spares Kit|Kit de motor leaf|leaf motor separes kit",10,10,0,0,0,1016476,10913,MATCHED,REF_EXACT,false
4513316442301M,4513316442301M,"Water Filter Element 5 Micron (2)|Filter Element 5 Micron|water filter cant 2|(02) Water Filter|water filter. cant = 2
wd40
aceite triflow
grasa ep2|Water Filter Element 5Micron|water filter|filter element 5 micra|Filter element 5 micron|Filter Element 5 microm",10,10,0,0,0,4513316442301M,10312,MATCHED,REF_EXACT,false
NOAPLICA,no aplica|No aplica|NO APLICA,no aplica|no hay|Limpia Contacto|Insumo|NO APLICA|No aplica|No hay,9,0,9,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
1017632,1017632,"pcb assy, camera CCU|CCU PCB|PCB assy, camera CCU|PCB Assy Camers CCU|PCB Assy, Camera CCU|PCB ASSY CAMERA CCU",8,8,0,0,0,1017632_usado,11872,MATCHED,REF_LIKE,true
1500954,1500954,"Tarjeta Controladora de Voltaje|PCB controladora de Telemetro "" VOLTAGE REGULATOR PCB ASSY""|Z-Laser voltage regulator, PCB Assy|voltage regulador, pcb assy.|Voltage Regulator PCB Assy|voltaje regulator, pcb assy |VOLTAGE REGULATOR, PCB ASSY",8,0,0,8,0,,,NO_MATCH,NONE,true
1556287,1556287,"(2) Kit spares, Diaphrams Brake|(02) Kit, spares, Diaphragms Brake|KIT SPARES DIAPHRAGM BRAKE Cant: 2|kit, spare, diaphrag|KIT, SPARES, DIAPHRAGM BRAKE BATCH|KIT, SPARES, DIAPHRAGM BRAKE BATCH NR W0616|Diaphragm brakes spare kit",8,8,0,0,0,1556287,12261,MATCHED,REF_EXACT,false
1564169,1564169,"pcb assy, LED control |kit led proyector|kit, luminoso proj assy and pcb assy, led control|KIT, LUMINOS PROJ ASSY AND PCB ASSY, LED CONTROL|KIT LUMINUS PROJ ASSY AND PCB ASSY, CONTROL LED|KIT, LUMINOUS PRO ASSY AND PCB ASSY, LED CONTROL|kit, luminus proj assy and pcb assy, led control |KIT LUMINOUS PROJ ASSY",8,8,0,0,0,1564169,12262,MATCHED,REF_EXACT,false
1531145,1531145,"Assy, Fan 70x70x15mm|ASSY, FAN 70X70X15MM |assy, fan 70x70x15mm|Router PCB Cage fan|ASSY, FAN 70X70X15MM|assy, fan 70x70x15 mm",7,7,0,0,0,1531145,11145,MATCHED,REF_EXACT,false
1538261,1538261,"FRU Kit, Flight tube drive asssy |Fru kit, flight tube assembly|(30) FRU Kit. Flight tube Drive|FRU KIT, FLIGHT TUBE DRIVE ASSY|FRU KIT FLIGHT TUBE DRIVE",7,7,0,0,0,1538261,11854,MATCHED,REF_EXACT,false
1547237,1547237,"kit, luminus proj assy and pcb led control|Kit, Luminus Proj Assy an PCB |Kit, Luminus Proj Assy and PCB, Assy Led Control|kit, luminus proj assy and PCB assy, LED CONTROL |kit, luminus proj assy and PCB assy, LED control|KIT, LUMINUS PORJ ASSY AND PCB ASSY, LED CONTROL|KIT, LUMINUS PROJ ASSY AND PCB ASSY, LED CONTROL",7,0,0,0,7,,,AMBIGUOUS_MATCH,REF_LIKE,true
1557545,1557545,"Camera, DX9|CAMERA DX9|CAMARA, DX9|camera|Camera DX9|CAMERA, DX9",7,7,0,0,0,1557545,12192,MATCHED,REF_EXACT,false
1565836,1565836,"kit spares, DLG brake|kit spare dlg braker|kit spare DLG brake|Kit spares, DLG Brake |KIT, SPARES, DLG BRAKE|kit spares DLG brakert|KIT, SPARE DLG BRAKE",7,7,0,0,0,1565836,10983,MATCHED,REF_EXACT,false
1568178,1568178,"Programmed, pcb assy,sib|PROGRAMED, PCB ASSY, SIB|SIB PCB|PROGRAMMED PCB ASSY, SIB|Programmed, PCB ASSY,   SIB|SIB pcb|PROG,PCB ASSY,SIB",7,7,0,0,0,1568178,10821,MATCHED,REF_EXACT,false
