report_field_id,fieldbeat_task_id,group_name,group_index,group_copy_of,is_group_copy,field_name,field_index,field_type,field_value,field_comment,mandatory,possible_values,etag,extracted_at
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|NOMBRE DEL INGENIERO ADICIONAL|4,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,NOMBRE DEL INGENIERO ADICIONAL,4,MULTIPLE,RUBEN CAMMALLERI,,false,"MANUEL REYES,JOSE ECHEVERRIA,SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ,ROBERTO AGUILA,OTRO (COMENTE),RAFAEL GUAPACHE,ALEJANDRO CORBEA","W/""datetime'2021-02-13T14:01:43.6266497Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE TERMINO DEL TRABAJO|3,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE TERMINO DEL TRABAJO,3,DATETIME,29/01/2021 11:40,,true,,"W/""datetime'2021-02-13T14:01:43.8414849Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE INICIO DEL TRABAJO|2,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE INICIO DEL TRABAJO,2,DATETIME,29/01/2021 08:30,,true,,"W/""datetime'2021-02-13T14:01:43.6285953Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|TRABAJO REALIZADO|1,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,TRABAJO REALIZADO,1,TEXT,"Se asiste a UPO-R para realizar la toma de datos de los nuevos viales a ingresar en sistema Apoteca.

Se realizó la toma de valores de peso de cada vial, se realizaron las fotografías de los mismos y se tomaron las dimensiones para crear la ficha del archivo DAT.

Adicionalmente se fotografió la bolsa de NaCl 50ml Viaflex para su ingreso en el sistema.

Se enviarán los datos a Loccioni para la creación del archivo de datos.",,true,,"W/""datetime'2021-02-13T14:01:43.8432257Z'""",2026-08-03T22:08:29.382Z
944|ENTREGA|3|OBSERVACIONES|5,944,ENTREGA,3,,false,OBSERVACIONES,5,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.0122497Z'""",2026-08-03T22:08:29.382Z
944|ENTREGA|3|HABILITADO PARA USO CLINICO|4,944,ENTREGA,3,,false,HABILITADO PARA USO CLINICO,4,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:02:15.2395777Z'""",2026-08-03T22:08:29.382Z
944|ENTREGA|3|FECHA ESTIMADA DE PROXIMA INTERVENCION|3,944,ENTREGA,3,,false,FECHA ESTIMADA DE PROXIMA INTERVENCION,3,DATE,,,true,,"W/""datetime'2021-02-13T14:02:15.0140929Z'""",2026-08-03T22:08:29.382Z
944|ENTREGA|3|FECHA Y HORA DE ENTREGA|2,944,ENTREGA,3,,false,FECHA Y HORA DE ENTREGA,2,DATETIME,29/01/2021 09:35,,true,,"W/""datetime'2021-02-13T14:02:15.2414209Z'""",2026-08-03T22:08:29.382Z
944|ENTREGA|3|INTERVENCION FINALIZADA|1,944,ENTREGA,3,,false,INTERVENCION FINALIZADA,1,BOOLEAN,Si,,true,,"W/""datetime'2021-02-13T14:02:15.0158337Z'""",2026-08-03T22:08:29.382Z
944|REPUESTOS|2|NUMERO DE PARTE|2,944,REPUESTOS,2,,false,NUMERO DE PARTE,2,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.2431617Z'""",2026-08-03T22:08:29.382Z
944|REPUESTOS|2|NOMBRE DEL REPUESTO O INSUMO UTILIZADO|1,944,REPUESTOS,2,,false,NOMBRE DEL REPUESTO O INSUMO UTILIZADO,1,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.0174721Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|OBSERVACIONES DEL TRABAJO|7,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,OBSERVACIONES DEL TRABAJO,7,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.2449025Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|COMENTE EL DESPERFECTO|6,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,COMENTE EL DESPERFECTO,6,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.0192129Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|DESPERFECTO AFECTA A|5,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,DESPERFECTO AFECTA A,5,MULTIPLE,Otro,,true,"Carga de Componentes,Elaboración de Preparaciones,Sistema de Ventilación,Sistema de Enfriamiento,Temperatura de Máquina,Base de Datos de Preparaciones,Otro","W/""datetime'2021-02-13T14:02:15.2465409Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|NOMBRE DEL INGENIERO ADICIONAL|4,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,NOMBRE DEL INGENIERO ADICIONAL,4,MULTIPLE,RUBEN CAMMALLERI,,false,"MANUEL REYES,JOSE ECHEVERRIA,SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ,ROBERTO AGUILA,OTRO (COMENTE),RAFAEL GUAPACHE,ALEJANDRO CORBEA","W/""datetime'2021-02-13T14:02:15.5937793Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE TERMINO DEL TRABAJO|3,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE TERMINO DEL TRABAJO,3,DATETIME,29/01/2021 09:35,,true,,"W/""datetime'2021-02-13T14:02:15.8201857Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE INICIO DEL TRABAJO|2,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE INICIO DEL TRABAJO,2,DATETIME,29/01/2021 09:25,,true,,"W/""datetime'2021-02-13T14:02:15.5957249Z'""",2026-08-03T22:08:29.382Z
944|DESCRIPCIÓN DE LA INTERVENCIÓN|1|TRABAJO REALIZADO|1,944,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,TRABAJO REALIZADO,1,TEXT,"Se asite a UPO-R para realizar el reemplazo e instalación de la base para jeringas de 50ml en la posición correspondiente del Sector 6 del carrusel.

Se realiza rápida inspección y chequeo de las piezas cercanas a la base reemplazada.

Luego de la instalación se regresa carrusel a posición inicial y se habilita el equipo.

El equipo queda perativo.",,true,,"W/""datetime'2021-02-13T14:02:15.8219265Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|EQUIPO ESTÁ OPERATIVO|6,951,ENTREGA,3,,false,EQUIPO ESTÁ OPERATIVO,6,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:02:15.6148737Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|OBSERVACIONES|5,951,ENTREGA,3,,false,OBSERVACIONES,5,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.3521153Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|HABILITADO PARA USO CLINICO|4,951,ENTREGA,3,,false,HABILITADO PARA USO CLINICO,4,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:02:15.6167169Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|FECHA ESTIMADA DE PROXIMA INTERVENCION|3,951,ENTREGA,3,,false,FECHA ESTIMADA DE PROXIMA INTERVENCION,3,DATE,,,true,,"W/""datetime'2021-02-13T14:02:15.3547777Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|FECHA Y HORA DE ENTREGA|2,951,ENTREGA,3,,false,FECHA Y HORA DE ENTREGA,2,DATETIME,03/02/2021 17:00,,true,,"W/""datetime'2021-02-13T14:02:15.6186625Z'""",2026-08-03T22:08:29.382Z
951|ENTREGA|3|INTERVENCION FINALIZADA|1,951,ENTREGA,3,,false,INTERVENCION FINALIZADA,1,BOOLEAN,Si,,true,,"W/""datetime'2021-02-13T14:02:15.3576449Z'""",2026-08-03T22:08:29.382Z
951|REPUESTOS|2|NUMERO DE PARTE|2,951,REPUESTOS,2,,false,NUMERO DE PARTE,2,TEXT,"107043-11
107771-11",,false,,"W/""datetime'2021-02-13T14:02:15.6205057Z'""",2026-08-03T22:08:29.382Z
951|REPUESTOS|2|NOMBRE DEL REPUESTO O INSUMO UTILIZADO|1,951,REPUESTOS,2,,false,NOMBRE DEL REPUESTO O INSUMO UTILIZADO,1,TEXT,"Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,false,,"W/""datetime'2021-02-13T14:02:15.3605121Z'""",2026-08-03T22:08:29.382Z
951|AFECTACIÓN DE DOSIMETRÍA DEL HAZ|4|¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F|1,951,AFECTACIÓN DE DOSIMETRÍA DEL HAZ,4,,false,¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F,1,BOOLEAN,No,,false,,"W/""datetime'2021-02-13T14:02:15.3502721Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|OBSERVACIONES DEL TRABAJO|7,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,OBSERVACIONES DEL TRABAJO,7,TEXT,"Se observa incompatibilidad de impresora con el programa ""Studio 2008"" que está instalado, no afectando en la operación del software .
De las observaciones de software antes descritas, se realiza asistencia técnica nacional y desde Elekta Estados Unidos, los cuales se encuentran trabajando en parche correctivo para lo antes posible. Se anexara reporte de Pruebas Clinicas realizadas por parte de Físico medico responsable.",,false,,"W/""datetime'2021-02-13T14:02:15.6222465Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|COMENTE EL DESPERFECTO|6,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,COMENTE EL DESPERFECTO,6,TEXT,"Por falla en tarjeta madre en PC HP5800 del TCS de equipo Microselectron, se reemplaza por computador HP 5810 Rp5 de acuerdo a procedimiento descrito en FCO 806-05-BTD-018 e instrucciones dadas por Gonzalo López. 
Previo a cambio se realiza respaldo de la data desde HDD del computador fallado, realizándose un traspaso del buckup a nuevo PC instalado de los datos encontrados con fechas de Marzo y Agosto del 2020.
Se realizaron pruebas de acuerdo a pauta descrita en el pto. 13 del FCO, con resultados satisfactorios con las siguientes observaciones:
- Se observa bug de software aleatorio con ciertos pacientes, causando error de sexo indefinido de paciente.
- Se resetea contraseña genérica de usuario admin según especificaciones de Elekta.
- Se recuperan últimos respaldos disponibles.
- Se realiza ensayos de extracción y retracción de fuente con asistencia en sitio de físico médico, causando falla en algunas ocasiones al iniciar el plan.
",,false,,"W/""datetime'2021-02-13T14:02:15.3633793Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|DESPERFECTO AFECTA A|5,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,DESPERFECTO AFECTA A,5,MULTIPLE,OTROS (COMENTE),,true,"SIMETRIA -  PLANICIDAD DE LAS ENERGIAS,UNIFORMIDAD DE LAS ENERGIAS,RENDIMIENTO EN PROFUNDIDAD ENERGIAS,DOSIS DE REFERENCIA DE LAS ENERGIAS,PARAMETROS GEOMETRICOS,BASES DE DATOS DE CALIBRACION,BASES DE DATOS DE PRESCRIPCIONES,OTROS (COMENTE)","W/""datetime'2021-02-13T14:02:15.6239873Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|NOMBRE DEL INGENIERO ADICIONAL|4,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,NOMBRE DEL INGENIERO ADICIONAL,4,MULTIPLE,"SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ",,false,"MANUEL REYES,JOSE ECHEVERRIA,SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ,ROBERTO AGUILA,ALEJANDRO CORBEA,RAFAEL GUAPACHE,OTRO (COMENTE)","W/""datetime'2021-02-13T14:02:15.3658369Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE TERMINO DEL TRABAJO|3,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE TERMINO DEL TRABAJO,3,DATETIME,03/02/2021 17:00,,true,,"W/""datetime'2021-02-13T14:02:15.6259329Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE INICIO DEL TRABAJO|2,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE INICIO DEL TRABAJO,2,DATETIME,25/01/2021 08:30,,true,,"W/""datetime'2021-02-13T14:02:15.3675777Z'""",2026-08-03T22:08:29.382Z
951|DESCRIPCIÓN DE LA INTERVENCIÓN|1|TRABAJO REALIZADO|1,951,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,TRABAJO REALIZADO,1,TEXT,CAMBIO PC TCS EQUIPO BRAQUITERAPIA MICROSELECTRON,,true,,"W/""datetime'2021-02-13T14:02:15.6282881Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|EQUIPO ESTÁ OPERATIVO|6,952,ENTREGA,3,,false,EQUIPO ESTÁ OPERATIVO,6,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:02:15.7895681Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|OBSERVACIONES|5,952,ENTREGA,3,,false,OBSERVACIONES,5,TEXT,S/O,,false,,"W/""datetime'2021-02-13T14:02:15.5608065Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|HABILITADO PARA USO CLINICO|4,952,ENTREGA,3,,false,HABILITADO PARA USO CLINICO,4,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:02:15.7912065Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|FECHA ESTIMADA DE PROXIMA INTERVENCION|3,952,ENTREGA,3,,false,FECHA ESTIMADA DE PROXIMA INTERVENCION,3,DATE,,,true,,"W/""datetime'2021-02-13T14:02:15.5631617Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|FECHA Y HORA DE ENTREGA|2,952,ENTREGA,3,,false,FECHA Y HORA DE ENTREGA,2,DATETIME,05/02/2021 17:40,,true,,"W/""datetime'2021-02-13T14:02:15.7929473Z'""",2026-08-03T22:08:29.382Z
952|ENTREGA|3|INTERVENCION FINALIZADA|1,952,ENTREGA,3,,false,INTERVENCION FINALIZADA,1,BOOLEAN,Si,,true,,"W/""datetime'2021-02-13T14:02:15.5649025Z'""",2026-08-03T22:08:29.382Z
952|REPUESTOS|2|NUMERO DE PARTE|2,952,REPUESTOS,2,,false,NUMERO DE PARTE,2,TEXT,SN,,false,,"W/""datetime'2021-02-13T14:02:15.7946881Z'""",2026-08-03T22:08:29.382Z
952|REPUESTOS|2|NOMBRE DEL REPUESTO O INSUMO UTILIZADO|1,952,REPUESTOS,2,,false,NOMBRE DEL REPUESTO O INSUMO UTILIZADO,1,TEXT,NA,,false,,"W/""datetime'2021-02-13T14:02:15.5667457Z'""",2026-08-03T22:08:29.382Z
952|AFECTACIÓN DE DOSIMETRÍA DEL HAZ|4|¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F|1,952,AFECTACIÓN DE DOSIMETRÍA DEL HAZ,4,,false,¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F,1,BOOLEAN,No,,false,,"W/""datetime'2021-02-13T14:02:15.5589633Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|OBSERVACIONES DEL TRABAJO|7,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,OBSERVACIONES DEL TRABAJO,7,TEXT,,,false,,"W/""datetime'2021-02-13T14:02:15.7962241Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|COMENTE EL DESPERFECTO|6,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,COMENTE EL DESPERFECTO,6,TEXT,afecta a tasa nominal ,,false,,"W/""datetime'2021-02-13T14:02:15.5684865Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|DESPERFECTO AFECTA A|5,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,DESPERFECTO AFECTA A,5,MULTIPLE,OTROS (COMENTE),Tasa nominal,true,"SIMETRIA -  PLANICIDAD DE LAS ENERGIAS,UNIFORMIDAD DE LAS ENERGIAS,RENDIMIENTO EN PROFUNDIDAD ENERGIAS,DOSIS DE REFERENCIA DE LAS ENERGIAS,PARAMETROS GEOMETRICOS,BASES DE DATOS DE CALIBRACION,BASES DE DATOS DE PRESCRIPCIONES,OTROS (COMENTE)","W/""datetime'2021-02-13T14:02:15.7979649Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|NOMBRE DEL INGENIERO ADICIONAL|4,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,NOMBRE DEL INGENIERO ADICIONAL,4,MULTIPLE,,,false,"MANUEL REYES,JOSE ECHEVERRIA,SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ,ROBERTO AGUILA,ALEJANDRO CORBEA,RAFAEL GUAPACHE,OTRO (COMENTE)","W/""datetime'2021-02-13T14:02:15.5703297Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE TERMINO DEL TRABAJO|3,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE TERMINO DEL TRABAJO,3,DATETIME,05/02/2021 17:35,,true,,"W/""datetime'2021-02-13T14:02:15.7996033Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE INICIO DEL TRABAJO|2,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE INICIO DEL TRABAJO,2,DATETIME,05/02/2021 16:30,,true,,"W/""datetime'2021-02-13T14:02:15.5725825Z'""",2026-08-03T22:08:29.382Z
952|DESCRIPCIÓN DE LA INTERVENCIÓN|1|TRABAJO REALIZADO|1,952,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,TRABAJO REALIZADO,1,TEXT,"Se efectua optimizacion de tasa de energias 6MV,10MV,6FFF,10FFF ",,true,,"W/""datetime'2021-02-13T14:02:15.8013441Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|EQUIPO ESTÁ OPERATIVO|6,953,ENTREGA,3,,false,EQUIPO ESTÁ OPERATIVO,6,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:01:44.2809857Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|OBSERVACIONES|5,953,ENTREGA,3,,false,OBSERVACIONES,5,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:44.0431105Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|HABILITADO PARA USO CLINICO|4,953,ENTREGA,3,,false,HABILITADO PARA USO CLINICO,4,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:01:44.2826241Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|FECHA ESTIMADA DE PROXIMA INTERVENCION|3,953,ENTREGA,3,,false,FECHA ESTIMADA DE PROXIMA INTERVENCION,3,DATE,,,true,,"W/""datetime'2021-02-13T14:01:44.0456705Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|FECHA Y HORA DE ENTREGA|2,953,ENTREGA,3,,false,FECHA Y HORA DE ENTREGA,2,DATETIME,06/02/2021 17:53,,true,,"W/""datetime'2021-02-13T14:01:44.2844673Z'""",2026-08-03T22:08:29.382Z
953|ENTREGA|3|INTERVENCION FINALIZADA|1,953,ENTREGA,3,,false,INTERVENCION FINALIZADA,1,BOOLEAN,Si,,true,,"W/""datetime'2021-02-13T14:01:44.0474113Z'""",2026-08-03T22:08:29.382Z
953|REPUESTOS|2|NUMERO DE PARTE|2,953,REPUESTOS,2,,false,NUMERO DE PARTE,2,TEXT,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579",,false,,"W/""datetime'2021-02-13T14:01:44.2862081Z'""",2026-08-03T22:08:29.382Z
953|REPUESTOS|2|NOMBRE DEL REPUESTO O INSUMO UTILIZADO|1,953,REPUESTOS,2,,false,NOMBRE DEL REPUESTO O INSUMO UTILIZADO,1,TEXT,"1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,false,,"W/""datetime'2021-02-13T14:01:44.0492545Z'""",2026-08-03T22:08:29.382Z
953|AFECTACIÓN DE DOSIMETRÍA DEL HAZ|4|¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F|1,953,AFECTACIÓN DE DOSIMETRÍA DEL HAZ,4,,false,¿INTERVENCIÓN AFECTA DOSIMETRÍA DEL HAZ%3F,1,BOOLEAN,No,,false,,"W/""datetime'2021-02-13T14:01:44.0408577Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|OBSERVACIONES DEL TRABAJO|7,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,OBSERVACIONES DEL TRABAJO,7,TEXT,"Objeto dejar MLC operativo, se efectúa cambio de la  totalidad de los espejos de la óptica, incluyendo lente de la cámara.  Además, se realiza el cambio de de los reflectores de cada laminas (80) y rde los reflectores de referencia. Posteriormente se revisa isocentro, se ajusta sistema óptico y se calibra MLC.",,false,,"W/""datetime'2021-02-13T14:01:44.2879489Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|COMENTE EL DESPERFECTO|6,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,COMENTE EL DESPERFECTO,6,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:44.0515073Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|DESPERFECTO AFECTA A|5,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,DESPERFECTO AFECTA A,5,MULTIPLE,PARAMETROS GEOMETRICOS,,true,"SIMETRIA -  PLANICIDAD DE LAS ENERGIAS,UNIFORMIDAD DE LAS ENERGIAS,RENDIMIENTO EN PROFUNDIDAD ENERGIAS,DOSIS DE REFERENCIA DE LAS ENERGIAS,PARAMETROS GEOMETRICOS,BASES DE DATOS DE CALIBRACION,BASES DE DATOS DE PRESCRIPCIONES,OTROS (COMENTE)","W/""datetime'2021-02-13T14:01:44.2896897Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|NOMBRE DEL INGENIERO ADICIONAL|4,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,NOMBRE DEL INGENIERO ADICIONAL,4,MULTIPLE,RAFAEL GUAPACHE,,false,"MANUEL REYES,JOSE ECHEVERRIA,SEBASTIAN CARCAMO,RUBEN CAMMALLERI,GONZALO LOPEZ,ROBERTO AGUILA,ALEJANDRO CORBEA,RAFAEL GUAPACHE,OTRO (COMENTE)","W/""datetime'2021-02-13T14:01:44.0532481Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE TERMINO DEL TRABAJO|3,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE TERMINO DEL TRABAJO,3,DATETIME,06/02/2021 17:51,,true,,"W/""datetime'2021-02-13T14:01:44.2914305Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|HORA DE INICIO DEL TRABAJO|2,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,HORA DE INICIO DEL TRABAJO,2,DATETIME,03/02/2021 08:30,,true,,"W/""datetime'2021-02-13T14:01:44.0548865Z'""",2026-08-03T22:08:29.382Z
953|DESCRIPCIÓN DE LA INTERVENCIÓN|1|TRABAJO REALIZADO|1,953,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,TRABAJO REALIZADO,1,TEXT,CAMBIO DE REFLECTORES DE LAMINAS,,true,,"W/""datetime'2021-02-13T14:01:44.2929665Z'""",2026-08-03T22:08:29.382Z
