fieldbeat_task_id,fieldbeat_task_date,client_key,client_rut,client_name,task_type,task_state,technician_names,equipment_internal_ids,linked_zendesk_ticket_id,zendesk_join_status,used_parts_count,matched_used_parts_count,placeholder_used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count,review_required_used_parts_count,dolibarr_refs,dolibarr_product_ids,used_part_numbers,used_part_names,part_match_statuses,part_match_methods,report_quality_status
959,2021-02-12T06:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,INSTALACION - INTEGRACION,ARCHIVED,,,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
960,2021-02-12T18:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,APOTECA-PS,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,NA,NA,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
961,2021-02-13T11:30:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,PREVENTIVA PROGRAMADA,FINISHED,acorbea,Linac-153935,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
98,2018-11-12T20:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),PRUEBAS DE ACEPTACION,SCHEDULED,,,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
96,2018-11-08T10:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,Linac-153935,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,s/n,no hay,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
94,2018-11-06T11:00:40.513Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-201110,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,1018268,FRU MOTOR BRUSH SET (ELECTROCRAFT).,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
92,2018-11-05T12:30:56.143Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,153038,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,sin numero,no hay,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
90,2018-10-30T14:00:01.725Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-154325,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,Brocha y aspiradora.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
89,2018-10-29T19:43:38.843Z,FIELD_BEAT_CLIENT||ACME,,ACME,CORRECTIVA NO PROGRAMADA,SCHEDULED,,153038,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
87,2018-10-27T16:53:00.000Z,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,,,NO_TICKET_REPORTED,1,1,0,0,0,1,1016474_usado,11873,1016474,1 Freno DLG,MATCHED,REF_LIKE,REVIEW_REQUIRED
85,2018-10-25T13:00:46.822Z,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,76.105.383-3,TORRE MÉDICA - RANCAGUA,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,Linac-105277,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,N/A,N/C,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
83,2018-10-24T11:43:00.000Z,FIELD_BEAT_CLIENT||FUNDACION ARTURO LOPEZ PEREZ,,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,Linac-153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
81,2018-10-23T14:30:20.166Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,FINISHED,scarcamo,Linac-153935,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,,DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
8,2018-08-21T12:17:08.389Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,PREVENTIVA PROGRAMADA,FINISHED,mreyes,2286,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,no hay,no hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
78,2018-10-20T11:30:00.000Z,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,,NO_TICKET_REPORTED,1,1,0,0,0,0,45133308530,11007,45133308530,Magnetron MG6370E.  Serie 18088055,MATCHED,REF_EXACT,OK
76,2018-10-18T10:20:54.188Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,153038,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,,Fusible de retardo de 10 amp.,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
74,2018-10-10T14:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-154325,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,Sin numero,Conector Rs,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
72,2018-10-12T20:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-151673,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
70,2018-10-26T12:00:00.000Z,FIELD_BEAT_CLIENT|96.606.750-0|CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,CLÍNICA ALEMANA DE TEMUCO,PREVENTIVA PROGRAMADA,FINISHED,mreyes,Linac-201073,,NO_TICKET_REPORTED,1,1,0,0,0,0,923931518204,11448,9239 315 18204,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.",MATCHED,REF_NORMALIZED_EXACT,OK
69,2018-10-09T16:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),ASISTENCIA REMOTA,FINISHED,scarcamo,TPS-HCVB,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
67,2018-10-05T13:45:00.000Z,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,96.757.430-9,INRAD,CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-201172,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,No hay.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
65,2018-10-02T21:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,SCHEDULED,,,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
63,2018-10-10T19:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,PREVENTIVA PROGRAMADA,FINISHED,mreyes,153038,,NO_TICKET_REPORTED,1,1,0,0,0,0,1026565,11028,1026565,Temp Controller NSerie 900658090004,MATCHED,REF_EXACT,OK
61,2018-09-28T14:45:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,ASISTENCIA REMOTA,FINISHED,rcammalleri,Linac-152171,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,N/A,N/A,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
6,2018-08-21T11:47:57.173Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,2286,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,None,None,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
58,2018-09-25T10:30:43.481Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
56,2018-09-20T12:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,SCHEDULED,,Linac-154325,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
54,2018-09-24T10:50:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,,,NO_TICKET_REPORTED,1,1,0,0,0,0,821321900352,11061,8213-219-00352,Fuse 10A - 250V,MATCHED,REF_NORMALIZED_EXACT,OK
52,2018-09-20T18:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,ASISTENCIA REMOTA,FINISHED,scarcamo,,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
50,2018-11-24T11:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,INSTALACION - INTEGRACION,FINISHED,rcammalleri,TPS-FALP,,NO_TICKET_REPORTED,2,2,0,0,0,1,653950|669324-B21,11296|11303,653950-001|669324-B21,Disco HP 146GB 15K 6G SFF DÍAS x1|Memoria HP 8GB PC3-12600 DDR3 ECC x64,MATCHED,REF_LIKE|REF_EXACT,REVIEW_REQUIRED
49,2018-12-18T11:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,PREVENTIVA PROGRAMADA,SCHEDULED,,LIAC-FALP,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
47,2018-09-28T19:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,SCHEDULED,,Linac-151673,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
45,2018-11-16T19:00:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,61.607.901-8,SERVICIO DE SALUD DE MAGALLANES,CORRECTIVA PROGRAMADA,FINISHED,raguila,Linac-152280,,NO_TICKET_REPORTED,1,1,0,0,0,1,45133327662,11571,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K",MATCHED,REF_LIKE,REVIEW_REQUIRED
43,2018-09-20T22:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
41,2018-09-11T11:51:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,ASISTENCIA REMOTA,FINISHED,scarcamo,,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,,Sesión Webex,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
4,2018-08-21T11:46:50.653Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,CORRECTIVA PROGRAMADA,FINISHED,mreyes,2286,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,cafe 2335689,Escobas huaipe,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
38,2018-09-04T19:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,TPS-HCVB,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,N/A,N/A,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
36,2018-09-07T16:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,PREVENTIVA PROGRAMADA,FINISHED,mreyes,Linac-151673,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,Grasa. WD40. Paños de limpieza.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
34,2018-09-04T15:00:21.247Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,FINISHED,rcammalleri,Linac-152171,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,none,none,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
32,2018-09-01T11:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,rcammalleri,TPS-FALP|OIS-FALP,,NO_TICKET_REPORTED,2,0,0,2,0,2,,,647907-B21|C7975A,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB)|HPE Ultrium LTO-5 3TB RW Data Tape,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
30,2018-09-05T12:30:00.000Z,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),61.605.000-1,INSTITUTO DE SALUD PUBLICA (ISP),PREVENTIVA PROGRAMADA,FINISHED,jecheverria,PANASONIC-ISP,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,no hay,insumos WD40 y Limpia contacto y elementos de limpieza de optica.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
99,2018-11-09T13:00:00.000Z,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,96.757.430-9,INRAD,PREVENTIVA PROGRAMADA,FINISHED,mreyes,Linac-201172,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,"Grasa EP2, aceite liviano y paños limpieza.",NO_MATCH,NONE,HAS_UNMATCHED_PARTS
97,2018-11-09T21:30:23.034Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
95,2018-11-06T12:00:00.000Z,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,96.757.430-9,INRAD,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,Linac-201172,,NO_TICKET_REPORTED,1,1,0,0,0,0,45133318864,10981,4513 331 8864,Potenciometro Check,MATCHED,REF_NORMALIZED_EXACT,OK
93,2018-11-06T11:30:43.294Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),PREVENTIVA PROGRAMADA,FINISHED,mreyes,Linac-201110,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,"Limpiacontacto, paños de limpieza y grasa EP2.",NO_MATCH,NONE,HAS_UNMATCHED_PARTS
91,2018-10-30T22:15:48.869Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
9,2018-08-21T15:45:37.976Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,CORRECTIVA PROGRAMADA,FINISHED,mreyes,2286,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
88,2018-10-29T14:25:18.838Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA NO PROGRAMADA,FINISHED,mreyes,Linac-201110,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,No hay.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
86,2018-10-25T20:47:00.000Z,FIELD_BEAT_CLIENT||FUNDACION ARTURO LOPEZ PEREZ,,FUNDACION ARTURO LOPEZ PEREZ,ASISTENCIA REMOTA,FINISHED,scarcamo,,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
84,2018-10-24T20:15:53.923Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,Linac-151673,,NO_TICKET_REPORTED,1,1,0,0,0,0,1505720,10393,1505720,PCB Detector Control Board (DCB),MATCHED,REF_EXACT,OK
82,2018-10-23T20:30:09.505Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,FINISHED,scarcamo,Linac-153935,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,,4 Nueces-Tornillos-Motor,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
80,2018-10-22T18:00:04.334Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,FINISHED,mreyes,Linac-153935,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay.,No hay.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
79,2018-10-22T15:30:00.000Z,FIELD_BEAT_CLIENT||CLINICA ALEMANA DE SANTIAGO,,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,Linac-151673,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,N/A,no hay,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
77,2018-10-18T15:00:50.247Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,FINISHED,mreyes,Linac-151673,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
75,2018-10-17T10:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,153038,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,no aplica,no aplica,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
73,2018-10-13T14:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,PREVENTIVA PROGRAMADA,FINISHED,rcammalleri,OIS-FALP,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,N/A,N/A,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
71,2018-11-24T11:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,PREVENTIVA PROGRAMADA,SCHEDULED,,Linac-153935,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
7,2018-08-21T11:48:30.998Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,CORRECTIVA NO PROGRAMADA,FINISHED,scarcamo,2286,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,100000001,barros luco,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
