fieldbeat_task_id,client_key,client_rut,client_name,task_type,assigned_to,equipment_internal_ids,start_time_utc,start_time_local,duration_minutes,reported_start_raw,reported_end_raw,reported_interval_plausible,estimated_end_time_local,business_minutes,after_hours_weekday_minutes,weekend_minutes,holiday_minutes,after_hours_total_minutes,after_hours_rate,is_after_hours_task,calculation_method,calculation_status,calculation_notes,confidence_score,confidence_label,confidence_color,confidence_factors
959,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,INSTALACION - INTEGRACION,,,2021-02-12T06:00:00.000Z,2021-02-12 03:00:00,240,,,,2021-02-12 07:00:00,0,240,0,0,240,1.0000,true,ESTIMATED_FROM_START_DURATION,CALCULATED,,71,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad parcial (falta tipo de tarea o técnico) (+5)"
960,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,jecheverria,APOTECA-PS,2021-02-12T18:00:00.000Z,2021-02-12 15:00:00,120,12/02/2021 15:00,12/02/2021 18:57,false,2021-02-12 17:00:00,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (237 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
961,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,PREVENTIVA PROGRAMADA,acorbea,Linac-153935,2021-02-13T11:30:00.000Z,2021-02-13 08:30:00,240,13/02/2021 08:30,13/02/2021 13:00,true,,0,0,270,0,270,1.0000,true,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
98,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),PRUEBAS DE ACEPTACION,,,2018-11-12T20:00:00.000Z,2018-11-12 17:00:00,120,,,,2018-11-12 19:00:00,90,30,0,0,30,0.2500,true,ESTIMATED_FROM_START_DURATION,CALCULATED,,71,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad parcial (falta tipo de tarea o técnico) (+5)"
96,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,jecheverria,Linac-153935,2018-11-08T10:00:00.000Z,2018-11-08 07:00:00,120,08/11/2018 07:00,08/11/2018 07:30,false,2018-11-08 09:00:00,30,90,0,0,90,0.7500,true,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (30 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
94,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA PROGRAMADA,mreyes,Linac-201110,2018-11-06T11:00:40.513Z,2018-11-06 08:00:40,120,06/11/2018 10:10,07/11/2018 14:45,false,2018-11-06 10:00:40,91,29,0,0,29,0.2444,true,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (1715 min) cruza más de un día calendario,76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
92,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,jecheverria,153038,2018-11-05T12:30:56.143Z,2018-11-05 09:30:56,120,05/11/2018 10:00,06/11/2018 08:00,false,2018-11-05 11:30:56,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (1320 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
90,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,mreyes,Linac-154325,2018-10-30T14:00:01.725Z,2018-10-30 11:00:01,120,30/10/2018 16:30,30/10/2018 17:20,false,2018-10-30 13:00:01,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (50 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
89,FIELD_BEAT_CLIENT||ACME,,ACME,CORRECTIVA NO PROGRAMADA,,153038,2018-10-29T19:43:38.843Z,2018-10-29 16:43:38,120,29/10/2018 17:02,29/10/2018 17:15,false,2018-10-29 18:43:38,106,14,0,0,14,0.1136,true,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (13 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),71,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad parcial (falta tipo de tarea o técnico) (+5)"
87,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,scarcamo,,2018-10-27T16:53:00.000Z,2018-10-27 13:53:00,120,27/10/2018 11:00,27/10/2018 14:00,true,,0,0,180,0,180,1.0000,true,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
85,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,76.105.383-3,TORRE MÉDICA - RANCAGUA,CORRECTIVA PROGRAMADA,jecheverria,Linac-105277,2018-10-25T13:00:46.822Z,2018-10-25 10:00:46,120,25/10/2018 08:00,25/10/2018 13:30,false,2018-10-25 12:00:46,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (330 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
83,FIELD_BEAT_CLIENT||FUNDACION ARTURO LOPEZ PEREZ,,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,scarcamo,Linac-153038,2018-10-24T11:43:00.000Z,2018-10-24 08:43:00,120,24/10/2018 07:45,24/10/2018 08:15,false,2018-10-24 10:43:00,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (30 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
81,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,scarcamo,Linac-153935,2018-10-23T14:30:20.166Z,2018-10-23 11:30:20,120,23/10/2018 11:15,23/10/2018 14:00,true,,165,0,0,0,0,0.0000,false,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
8,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,PREVENTIVA PROGRAMADA,mreyes,2286,2018-08-21T12:17:08.389Z,2018-08-21 09:17:08,240,21/08/2018 10:00,21/08/2018 10:49,false,2018-08-21 13:17:08,240,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (49 min) difiere de duration_minutes (240 min) más allá de la tolerancia (±120 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
78,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,,UC CHRISTUS - CECA,CORRECTIVA PROGRAMADA,mreyes,,2018-10-20T11:30:00.000Z,2018-10-20 08:30:00,120,20/10/2018 08:15,20/10/2018 22:05,false,2018-10-20 10:30:00,0,0,120,0,120,1.0000,true,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (830 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
76,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,jecheverria,153038,2018-10-18T10:20:54.188Z,2018-10-18 07:20:54,120,18/10/2018 07:40,18/10/2018 08:00,false,2018-10-18 09:20:54,51,69,0,0,69,0.5758,true,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (20 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
74,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,mreyes,Linac-154325,2018-10-10T14:00:00.000Z,2018-10-10 11:00:00,120,11/10/2018 11:29,11/10/2018 18:16,false,2018-10-10 13:00:00,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (407 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
72,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,mreyes,Linac-151673,2018-10-12T20:00:00.000Z,2018-10-12 17:00:00,120,12/10/2018 15:30,12/10/2018 18:29,true,,179,0,0,0,0,0.0000,false,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
70,FIELD_BEAT_CLIENT|96.606.750-0|CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,CLÍNICA ALEMANA DE TEMUCO,PREVENTIVA PROGRAMADA,mreyes,Linac-201073,2018-10-26T12:00:00.000Z,2018-10-26 09:00:00,240,26/10/2018 12:10,26/10/2018 18:10,true,,360,0,0,0,0,0.0000,false,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
69,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),ASISTENCIA REMOTA,scarcamo,TPS-HCVB,2018-10-09T16:00:00.000Z,2018-10-09 13:00:00,150,09/10/2018 13:00,09/10/2018 16:00,true,,180,0,0,0,0,0.0000,false,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
67,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,96.757.430-9,INRAD,CORRECTIVA PROGRAMADA,mreyes,Linac-201172,2018-10-05T13:45:00.000Z,2018-10-05 10:45:00,120,05/10/2018 10:30,05/10/2018 13:50,false,2018-10-05 12:45:00,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (200 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
65,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,,,2018-10-02T21:00:00.000Z,2018-10-02 18:00:00,0,,,,,0,0,0,0,0,0.0000,false,INVALID_DURATION,NOT_CALCULABLE,"duration_minutes ausente, cero o negativo - no se pudo estimar intervalo",46,Baja,warning,"start_time válido (+25) | duration_minutes ausente, cero o negativo (+0) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad parcial (falta tipo de tarea o técnico) (+5)"
63,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,PREVENTIVA PROGRAMADA,mreyes,153038,2018-10-10T19:30:00.000Z,2018-10-10 16:30:00,300,10/10/2018 16:34,10/10/2018 21:30,true,,116,180,0,0,180,0.6081,true,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
61,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,ASISTENCIA REMOTA,rcammalleri,Linac-152171,2018-09-28T14:45:00.000Z,2018-09-28 11:45:00,15,28/09/2018 11:45,28/09/2018 13:00,true,,75,0,0,0,0,0.0000,false,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
6,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,CORRECTIVA NO PROGRAMADA,rcammalleri,2286,2018-08-21T11:47:57.173Z,2018-08-21 08:47:57,120,21/08/2018 09:00,21/08/2018 09:23,false,2018-08-21 10:47:57,120,0,0,0,0,0.0000,false,ESTIMATED_FROM_START_DURATION,CALCULATED,hora de término reportada descartada: lapso reportado (23 min) difiere de duration_minutes (120 min) más allá de la tolerancia (±60 min),76,Media,info,"start_time válido (+25) | duration_minutes válido (+25) | hora de término estimada (start_time + duration_minutes) (+5) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
58,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,scarcamo,153038,2018-09-25T10:30:43.481Z,2018-09-25 07:30:43,240,25/09/2018 07:00,25/09/2018 12:00,true,,210,90,0,0,90,0.3000,true,EXACT_REPORTED_START_END,CALCULATED,,86,Alta,success,"start_time válido (+25) | duration_minutes válido (+25) | hora de término reportada y validada (plausible contra duration_minutes) (+15) | calendario laboral configurado pero sin validar con negocio (default) (+8) | feriados: solo fechas fijas, archivo example incompleto (+3) | trazabilidad completa (cliente, tipo de tarea, técnico) (+10)"
